郵件ID,郵件日期,交易時間,策略,帳戶,價格,交易方向,數量,倉位前,倉位後,系統狀態,錯誤訊息,原始內容
13f647684764d1d8,Fri Jun 21 2013 10:00:15 GMT+0800 (Taiwan Standard Time),Fri Jun 21 2013 10:00:06 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,7655,short_to_long,2,-1,1,normal,,"2013/06/21 10:00:06 ""7655.00"" 空翻多目前倉位：+1 之前倉位：-1 交易所_B(小型台指) 倍數：1, 本次下單：2 , 帳戶實際倉位：1 , 總倉位：1"
13f5f5e043fc844e,Thu Jun 20 2013 10:15:40 GMT+0800 (Taiwan Standard Time),Thu Jun 20 2013 10:15:31 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,7757,long_to_short,-2,1,-1,normal,,"2013/06/20 10:15:31 ""7757.00"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
13f4fc3324f6234a,Mon Jun 17 2013 09:32:13 GMT+0800 (Taiwan Standard Time),Mon Jun 17 2013 09:32:04 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,7961,short_to_long,2,-1,1,normal,,"2013/06/17 09:32:04 ""7961.00"" 空翻多目前倉位：+1 之前倉位：-1 交易所_B(小型台指) 倍數：1, 本次下單：2 , 帳戶實際倉位：1 , 總倉位：1"
13f178ad2d7f9dfa,Thu Jun 06 2013 11:32:16 GMT+0800 (Taiwan Standard Time),Thu Jun 06 2013 11:32:07 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8069,long_to_short,-2,1,-1,normal,,"2013/06/06 11:32:07 ""8069.00"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
13f0cc13a195ccb2,Tue Jun 04 2013 09:16:11 GMT+0800 (Taiwan Standard Time),Tue Jun 04 2013 09:16:02 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8200,long_to_short,-2,1,-1,normal,,"2013/06/04 09:16:02 ""8200.00"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
13f07a3c116b2c6b,Mon Jun 03 2013 09:25:54 GMT+0800 (Taiwan Standard Time),Mon Jun 03 2013 09:25:45 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8145,short_to_long,2,-1,1,normal,,"2013/06/03 09:25:45 ""8145.00"" 空翻多目前倉位：+1 之前倉位：-1 交易所_B(小型台指) 倍數：1, 本次下單：2 , 帳戶實際倉位：1 , 總倉位：1"
13ef38aa49d2e552,Thu May 30 2013 11:45:28 GMT+0800 (Taiwan Standard Time),Thu May 30 2013 11:45:20 GMT+0800 (Taiwan Standard Time),,,8213,long_to_short,-2,1,-1,normal,,"2013/05/30 11:45:20 ""8213.00"" 多翻空目前倉位：-1 之前倉位：1 測試(台指期貨) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
13ef3382786087c4,Thu May 30 2013 10:15:28 GMT+0800 (Taiwan Standard Time),Thu May 30 2013 10:15:19 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8284,long_to_short,-2,1,-1,normal,,"2013/05/30 10:15:19 ""8284.00"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
13ee3a82ac280654,Mon May 27 2013 09:44:23 GMT+0800 (Taiwan Standard Time),Mon May 27 2013 09:44:13 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8222,short_to_long,2,-1,1,normal,,"2013/05/27 09:44:13 ""8222.00"" 空翻多目前倉位：+1 之前倉位：-1 交易所_B(小型台指) 倍數：1, 本次下單：0 , 帳戶實際倉位：-1 , 總倉位：-1"
13ec4f9f5801bd1c,Tue May 21 2013 10:45:14 GMT+0800 (Taiwan Standard Time),Tue May 21 2013 10:45:03 GMT+0800 (Taiwan Standard Time),,,8425,,2,0,2,normal,,"2013/05/21 10:45:03 ""8425"" 多單進場目前倉位：+2 之前倉位：0 測試(台指期貨) 倍數：1, 本次下單：2 , 帳戶實際倉位：2 , 總倉位：2"
13eabcbb44c22473,Thu May 16 2013 13:24:16 GMT+0800 (Taiwan Standard Time),Thu May 16 2013 13:24:05 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,0,,0,1,1,normal,,"2013/05/16 13:24:05 ""0"" 目前倉位：+1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：1 , 帳戶實際倉位：0 , 總倉位：0 SEC"
13e8c1d62b9df967,Fri May 10 2013 09:45:16 GMT+0800 (Taiwan Standard Time),Fri May 10 2013 09:45:06 GMT+0800 (Taiwan Standard Time),,,8297,,-2,0,-2,normal,,"2013/05/10 09:45:06 ""8297"" 空單進場目前倉位：-2 之前倉位：0 測試(台指期貨) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-2 , 總倉位：-2"
13e8bf459c6542b0,Fri May 10 2013 09:00:23 GMT+0800 (Taiwan Standard Time),Fri May 10 2013 09:00:12 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8288,long_to_short,-2,1,-1,normal,,"2013/05/10 09:00:12 ""8288"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
13e8bf3eabee000c,Fri May 10 2013 09:00:22 GMT+0800 (Taiwan Standard Time),Fri May 10 2013 09:00:12 GMT+0800 (Taiwan Standard Time),,,8288,close_long,-2,2,0,normal,,"2013/05/10 09:00:12 ""8288"" 多單平倉目前倉位：0 之前倉位：2 測試(台指期貨) 倍數：1, 本次下單：0 , 帳戶實際倉位：0 , 總倉位：0"
13bf9a3d99363ec2,Wed Jan 02 2013 13:02:41 GMT+0800 (Taiwan Standard Time),Wed Jan 02 2013 13:02:36 GMT+0800 (Taiwan Standard Time),,,,,0,0,0,error,<下單失敗> 2013/01/02 13:02:36 交易所_B API 下單發生錯誤，本次下單已取消，請由手動補單。,<下單失敗> 2013/01/02 13:02:36 交易所_B API 下單發生錯誤，本次下單已取消，請由手動補單。
13bb1ab4e9436346,Wed Dec 19 2012 13:38:09 GMT+0800 (Taiwan Standard Time),Wed Dec 19 2012 13:38:05 GMT+0800 (Taiwan Standard Time),,,,,0,0,0,error,<發生錯誤> 2012/12/19 13:38:05 SEC 策略價格，超過 3 分鐘未跳動，請儘快處理。,<發生錯誤> 2012/12/19 13:38:05 SEC 策略價格，超過 3 分鐘未跳動，請儘快處理。
13bb1a6e009c12d6,Wed Dec 19 2012 13:33:06 GMT+0800 (Taiwan Standard Time),Wed Dec 19 2012 13:33:02 GMT+0800 (Taiwan Standard Time),,,,,0,0,0,error,<發生錯誤> 2012/12/19 13:33:02 SEC 策略價格，超過 3 分鐘未跳動，請儘快處理。,<發生錯誤> 2012/12/19 13:33:02 SEC 策略價格，超過 3 分鐘未跳動，請儘快處理。
